北中心测试环境有几套，都是什么环境？	八套环境
对公客户发票无法打印的问题	已提供分行贵金属发票操作手册，并解决。
求最新的银行卡拒绝码清单，谢谢？	请支行联系二级分行卡部同事，在个人信用审批系统，使用参数管理岗-参数设置-1822风险信息拒绝码参数查询，可以查询到全部的拒绝码信息以及对应拒绝天数，中文描述，风险控制级别等。
企业手银对外转账汇款页面提示有误，该签名提示页面中并没有如何红色字体显示，所以提示的语句是不对的。测试环境发现但找不到对应的企业手银优化体验项目，哪路大神看看呗…	可否使用测试手机试一笔交易，看看是否有同样的报错？另外，这是在几套测试环境？
个人客户积分冻结了是怎么回事，怎么造成的。	用4337交易解除积分冻结
票据池业务如何开通？具体需要准备什么资料？	您好，票据池业务办理，需首先开通财智账户协议，然后签订资产池协议。如仅需票据池业务，可在签订协议的入池资产类型中仅勾选票据。协议签订后即生效。
收付款管家卡问题	收付款管家开出卡片，通过日间批量完成，测试环境下可以通过手工提交作业处理。提供协议编号及相关信息。
请问如何用车牌号查询ETC用户名称	分行特色业务，请联系分行科技确认。
银行卡受地区渠道限制不能做此交易	这个是客户做了换卡不换号业务的，新卡已经拿上了，没有做换卡操作
客户网银定制外币账户信使，人民币账户扣费，授权之后显示银行拒绝，请问是什么原因	请您查看下指令详情，看下是否有拒绝的原因描述？
融e联登录，点忘记密码后已重置，但是再登录提示账号被冻结	是否非实名用户？非实名用户登录密码错误次数超限以后当天不能再登录了，需要第二天重置密码之后才能登录
如果将二类卡转为一类卡？	如果名下都是二类卡，可以将任意一张二类升一类
请问，跨地区的商友卡积分能否在异地工行已具备积分抵现功能的POS机上使用？	您好，只要是个人综合积分应都支持使用，谢谢
二类卡自动还款有限额吗？	二类卡目前不支持签订自动还款协议
7182委托贷款多移出了非公积金贷款，现在要移回，有办法吗？找哪位老师？	错误移出后没有业务办法移回，请提生产变更。可联系数据中心（上海）张琳咨询。
批量代扣是怎么操作？通过什么系统或平台？	代理业务数据传输系统要向个金申请
信用卡国外不能正常使用	怎么个不能用法？请将具体信息邮件发送测试四部刘海虹。
凭身份证能查询卡内明细吗？<br />	系统支持手输卡号处理 业务规定请参考操作规程
对公账户长期不动户转正常后，一个月未使用为什么又成为长期不动户？	长期不动户转正常账户后，如果没及时动账，日终批量后又会转准长期不动户，然后一个月后转长期不动户。
在苹果手机上打开工银e生活总是处于“正在定位”是什么问题？谢谢	没给e生活开定位权限吧，如果定位不了 直接输入一个地址查找也行
定制分期信用卡客户称消费后未自动分期，如何处理？	6459查询，或让客户登个人网银查一下定制分期协议状态，是否作废
手机银行能登陆，所有界面显示服务器安全证书验证失败，重新下载和更新系统后还是如此	您好，这个问题是您当前手机的Android System Webview 的版本是有问题的版本导致。如您是华为手机，请到华为应用市场搜索“Android System Webview”应用，更新到最新
6823设置外管局系统的经办，主管的ID是填什么？？？？	6823中的主管和经办柜员ID均是由分行国际业务主管部门向当地外汇管理局申请，并下发给网点的，请咨询一下分行主管部门。
个人客户转账，提示客户密码加密异常，怎样解决？刚给客户换的密码器。	请问是在哪里报出来的？密码器是否正常激活？
关于客编整合	您好，客编整合应该每天都会进行。如果无法整合，一般客编之间有冲突内容，能否将客户的两个客编发送我邮箱，我找相关部门确认一下。
请问我行客户存款积分多久能实施？	您好，目前暂无计划，谢谢
客户融E借收不到验证码，其他的验证码均能收到	融e借的验证码会发送到申请融e借时选定的手机号，请确认发送验证码的手机号是否为客户现在使用的手机号。如果不是，可以在发送验证码时选择手机号发送。如果还收不到，请将客户相关信息发送到测试三部韩青邮箱，谢
委托办卡委托卡启申请书板式！	留下邮箱，发给你
保证金账户分账户有钱，该如何转出，填转账支票还是特种转账凭证集中处理？	保证金户下的资金根据法律法规要求了限制用途和对手方。保证金分户账作借方主要有两种形式：保证证退回，保证金支付，均需要保证金许可证，跟特转凭证无关。
以前个体工商户开户时的有组织机构代码证，现在二证合一后，变更客户信息是取消组织机	删组织机构代码证，证件类型营业执照
以前个体户开对公账户用组织机构代码证开户，现在二证合一后，如何变更客户信息？	只留存一个证件类型营业执照，删了组织机构代码证
线上的聚合支付大约什么时候能够上线，上线时是否同时能够支持支付宝和微信支付？	计划1月版微信 3月版支付宝
ATM加完钞入差错款时金额输错，该怎么处理？	您好，差错分长款短款等场景，最后都是通过手工调账2653的方式完成。如需具体步骤，你可以联系我82988718
请问个人转账终端集中监控管理系统的第三套地址是什么？	您好，请直接联系贾晓晖获取，谢谢
社保卡可以异地注销吗？	我行只负责社保卡的金融功能，支持异地注销金融账号，至于社保问题需要咨询当地社保部门
“发现”栏目下的“热门问题”貌似没有变化过，是当前版本热度计算方法的自然结果吗？	再过一个版本，热门问题会重构下。
客户签订薪金溢2号，没有薪金溢利息收入，为什么？	卡号6217231608000958418
客户身份证类型修改问题	您好，我在测试环境试了一下，没有遇到您说的问题。请问您是用4214交易将客户证件从身份证改为临时身份证了吗？然后再用临时身份证做的指定账号开卡?报错?
请问，在融e联公众号导入音乐，哪些网站音乐支持生成外链？	融e联的素材管理功能支持使用html模式，使用html代码编辑时可以给网页插入音乐。由于目前各大音乐网站的版权问题，可以外链的音乐请以各音乐网站公布的为准，融e联管理平台不做控制。
怎么新增单位客编，求指教谢谢！	新增对公客户信息交易4102，其中的字段提示有明确，需要客户提供的内容
单位在我行无开户，请教怎么新增客编？	重复问题。
手机银行证券开户默认身份证有效日期格式错误	手机扫的身份证可能因为拍照角度引起存读取误差的，不一致可以手动修改的
往来户如何设置为不能收付资金的账户<br />	往来户不能收付有三种情况：一是新开核准类的核准前；二是电信反欺诈纳入可疑帐户的，三是一年以上的长期不动户，以上三种都会自动控制不能收付。除此之外的冻结，保留只控制付方。
请问今年说是总行会按客户金融资产累计综合积分？什么时候可以投产使用	您好，目前暂未收到版本改造通知，具体请以业务部门通知为准，谢谢
请教大家借记卡上的eid（电子身份证）功能如何开通？	EID 功能需要芯片上有EID 信息的银行卡才能开通，符合条件的银行卡可以直接通过柜面4444交易开通相关功能，芯片没有EID 信息的银行卡在做4444交易的时候会报错提示
鐜板湪鐨勫崱鍐呯編鍏冭处鎴锋€庝箞娌℃硶閿€鎴凤紝鎶ラ敊涓哄绠″眬鐢ㄦ埛鍙傛暟鏈缃紝璋㈣阿馃槉	您好，请使用6823交易向外管局申请金融机构标识码，主管柜员，经办柜员，谢谢。
衍生品业务管理复核员退回后怎么处理	交易回退后，交易员首先在衍生品成交管理-交易查询中找到被退交易，确认状态为待调整后，在交易详情页可以选择调整，点调整后页面自动跳转到衍生品成交管理-业务查询中的交易详情页，交易价差可调整，提交键可选。
企业网银逐笔支付提示请选择正确的收款单位，收款单位下拉菜单只有本单位，什么原因？	请确认下id权限，是否开通了向任意账户转账权限？
财智账户卡号可做为汇款收款账号吗？	该卡可以做为收款账号。是否支持汇款，还需明确是什么汇款交易，那个渠道发起的等信息
安心账户如何销户	什么渠道？联机还是批量？专项资金还是交易资金？
融e联上财富集市没有交易撤销功能，客户非交易时间购买了，不能赎回，也不能撤销，交易待确认，就不能使用资金，不方便。可以增加在途交易撤销功能吗？	您好，赎回交易需要客户购买后t+1（t为工作日）银行确认份额才能进行赎回，撤销交易目前工银瑞信侧暂不支持，前期已将需求向工银瑞信侧反馈。后续会根据进展进行反馈。
请问2165做保证金退回是否需要出具许可证，没有电子许可证怎么办？	请根据2175交易的界面提示操作。大部分保证金种类都必须许可证，必须有许可证才能进行退回操作。
对公开销户登记簿每年都要打印留存吗？	2016版会计档案办法中，结算帐户档案保存至销户后十年。是否每年打印，须参阅本省行细则。请咨询二级分行运管部。
预留印鉴的名章丢失，该怎么更换	单位出公函写明名单丢失，更换就行。
手机银行注册账户转账	您好，请确认收款方是否为自助注册卡，此种场景一直要求验签，谢谢
请问军辅卡，军官证，身份证全部丢失，怎么为客户办理挂失补卡，	一般情况下建议客户定时做临时挂失，然后尽快补办证件。拿到证件后进行正式挂失并补卡。
客户使用我行手机app时,弹出：个人涉税信息采集系统提醒，点击进去为空白页。	您可以从服务设置进去，点个人涉税信息采集看看
请问对公账户的工银e缴费怎么办理	比照个人客户办理即可
请问II类账户买我行代销的集合理财是否受限额限制？	二类账户购买也是受到限额控制的
个人综合消费贷款可以通过网上银行实现部分提前归还吗？谢谢！	重复问题忽略
总行信用卡灰名单怎么解除	灰名单是我行风险客户信息不允许删除。总行的灰名单都是因为客户触犯信用卡风险监控，或者降额处理，贷后催收而进入的。这一类都是风险客户，不能删除记录
密码解锁能否代办	密码重置需本人办理
异地借记卡中的外币能否转账？	不可以，可以使用2847现金购汇
银证客户变更银行卡问题	银行主机的客户信息发生变化后，客户需要到证券公司办理变更手续，并由证券公司发送客户身份信息变更交易给银行。
河南省政府非税收入专用缴款通知书，业务如何办理？	已解决
核算网点调整物理网点1323现金帐务核对登记簿  差错  应调整日终余额  误调	请将问题补充完整。
查询扣款原因	请问代收付报文是哪里查呢？网点报表系统好像没有
企业名称是33个汉字，在我行开户最多30个字，企业无法变更印章，请问如何解决？	企业名称采用合法化简称
网上银行开立基金财户交易失败报1233	您好，1233表示该户已经开过基金账户。
部队客户证件丢失，是否可以根据部队出具的证明办理实时挂失处理？	您好，系统没有限制，具体业务规定建议询运管部意见，谢谢
请问通过代理业务传输系统代发工资的批量处理时间	通过企业网银，银企互联，柜面提交代理业务指令，每天六个固定处理场次，分别为10：00，13：00，15：00，17：30，20：30，02：00点处。
对公账户销户问题	另一种方法，可使用1579调整对公卡有效期，调整生效后，再用卡销户即可
异地卡丢失是否可以智能机重置密码	您好，系统功能是支持的，谢谢
2398交易不能转到各类pay账户卡	为什么不用2612呢？
1498交易作废对公收费明细，显示“交易网点无权限做此操作”，请问如何处理	请使用账户信息查询交易，查找还账户的交易网点，再通过此网点发起1498交易
票据池权限问题	您好，请描述一下问题内容，谢谢。
-405 no matching cert什么意思？怎么处理？	具体是什么应用什么业务报的错呢？
1323现金账务核对登记薄显示有差错差额15元，网点查询无果，请问如何调整	以实际发生额和余额为准调整。
个人网上银行存在密码输入框层次问题	您好，这是安全规范要求的密码控件必须置于最上层，可通过调整页面位置规避，业务部门认可该处理，请了解。
手机银行登录时验证码输入总显示错误	请检查是否输入超时，仍有问题建议补充操作步骤及截图，谢谢
请问网上银行能够办理个人综合消费贷款部分提前归还吗？	从全部菜单进我的贷款，点详情，对要还款的借据点还款，输入还款金额提交即可。
手机银行购买贵金属订单如何查询	请明确是个人手机银行还是企业手机银行
POS机错款，用哪个交易能将客户卡里的钱扣划到我行内部户？	请将具体问题场景邮件发送测试四部于艳。
在电子银行渠道，非第一次购买、赎回基金等相关操作时，无需介质认证，有安全风险。	若此开关为开，部分交易同次登录仅第一次需要验签、部分交易笔笔需要验签，机制不同。
客户大额转账时，输入港澳通行证号码时，通行证最后的两位序号是必输的吗？	您好，后两位为换证次数，按业务规定无需输入，谢谢
衍生品业务管理中的交易可以系统自动扣划保证金吗	可以自动扣划保证金，分行交易员提交申请后即可实现系统自动扣划。
单位账户销户，存在基金账户如何处理？	确认基金交易全部完成，销基金户，再通过7569交易查询还有那些待处理协议，然后才可以销结算账户
做贷款核销时，转呆账后打不了核销许可证怎么应急处理，求处理流程。	疑似双开ie浏览器导致无法打印准贷证，已联系分行，会计人员通过3535交易处理。
请问，融e借提前还清后能否打结清证明？	网银、手机银行可查看状态为“已结清”。
对公账户保证金缴存	<br>
定期转活期，不同名，且网点库存不足。	您好，定转活需同名，建议给客户新开同名活期账户，谢谢
关于免年费借记卡扣收年费的问题	邮件发广三陈汉 测试四部郭梦伊
客户反映，手机银行缴纳交通罚款成功，但交管部门查询违章还未处理，如何补打回单？	柜面8606能打吗？
我行给客户代发拆迁存单时提示该客户为疑似黑名单？怎么办	您好，对黑名单客户处理需询上级个金部，谢谢
目前生产上消除冲突业务后，客编整合的批量作业的时间是如何执行的，谢谢。	您好，目前是每日执行，谢谢
个人网银收款绑定，绑定手机号时，发送验证码未有短信编号，建议修改	您好，该业务无需使用短信编码，请了解。
请问，有折灵通卡可以异地挂失换卡吗？	可以
1、发票认证账号错误后怎么更正。	请问您是在哪个地方遇见的这个问题，能否提供一个报错图片？
应急发票补录提示税率参数记录不存在是什么原因？	可能是发生该笔业务的内部户没有对应的税基参数，还需要具体查查该笔业务的情况。
影像系统为什么不能查看2012年的传票影像？	根据办法，5年的影像已经离线，若查询，需按照流程向省行查询离线数据。
司法冻结2651录入时是以裁定书文书号还是以冻结通知书号录入	应该按通知书号录入
NOVA+1.9.12版本业务验证签到	山东分行签到
浙江到岗	收到
手机银行-我的账户-账户管理-更多-查询工资明细	您好，上游尚未处理相应月份批量，已反馈进行确认处理，请了解
手机银行一e缴费一缴电费	请确认问题目前能否复现，检查华北电网的缴费回单没有复现问题，不排除网络问题或缴费项目设置问题。
手机银行-最近设备登录	您好，登录设备的绑定时间是？设备名称一是设备自身记录 二是手工修改，也可能是历史原因设备自身记录的名称异常。建议修改为正常名称，谢谢
手机银行境内转账无法进行	您好，是未开对外转账权限，或自助注册卡转柜面注册卡无可用认证介质同时不满足注册e支付条件，谢谢。
手机充值页面未增加分享二维码	您好，该业务暂无此需求，请了解。
手机银行，保险，太平美好金生，有“500+”字样与下方重叠	该问题是因为保险公司提供的产品图片的原因导致，我们会尽快联系业务反馈该问题
融e联-发现-e生活	问题已解决。
融e行我的惠生活打开进入时，我的积分显示和实际积分不一致。	这儿显示的应该是上一日积分～
手机银行，消息中心，机灵小秘书，一条贷款扣款提醒，点击查看扣款账户余额，出现	您好，目前该功能设计即为进入贷款功能，考虑纳入后续优化计划中，谢谢。
安卓手机银行信用卡页面账单查询图标显示问题	您好，该问题影响易用性，我们会尽快反馈纳入后续优化计划，谢谢。
融e联-发现-财富集市，添利快线页面，按返回键，无法返回	您好，退出财富集市页面，需要点击“关闭”按钮。返回按钮适用于从财富集市各子页面返回到上一级页面。
工银e生活登陆进去，先点击生活再点击精选，此时精选页右上方的消息按钮变红！	下拉刷新后还有吗？
工银e生活我的电子券	IphoneX ios11.2.1和iphone 6sp未复现此问题，请提供手机、系统、客户端版本号。点击已使用，切回未使用栏，是否问题还存在。
智能终端挂失无法办理，	ipvs等同步
手机银行之AI投子菜单打不开，白屏为什么？	您好，我们验证无此现象，还请提供机型 操作系统 步骤截图等进一步详查，谢谢
融e购客户端-金融-基金	现有的热销、新发产品以及您关注的基金都不支持在融e购渠道购买所以未展现
提问题，如何加图片	您好，提问时点击添加描述，进入问题描述页，可以添加图片和文字描述。
i服务版本升级界面有广告	古老师，正式推广以后会切换应用托管平台，不会有广告。
u盾恢复无法使用	您好，u盾状态正常是不可以做恢复的。恢复功能是限于客户u盾因客户误操作导致证书下载失败的情况下进行恢复处理，谢谢
u盾恢复提示错误	请提供一下u盾的品牌和序号
融e购优惠券无法显示	请提供下联系方式，我们这边能正常展示，需要进一步分析您数据的情况
明华二代U盾无法正常恢复，显示接收数据端异常	您好，该报错一般为u盾故障，需更换u盾，谢谢
今日手机银行出现我的账户显示不全的问题	烦请详细描述问题现象并附截图，谢谢
扫描工作站无法正常扫描	应该是今天升级了
客户经理pbms系统无法查询管户客户经理	请在客户驱动下，点击客户概况查询。在客户画像下方有链接，谢谢
建议将工银智能卫士中的夜间锁的时间可以由客户自行设置，时间范围是24小时内。	您好，夜间锁主要是为了控制23点到次日5点间的夜间交易，防止在客户夜间休息时出现的盗刷或其他被盗用情况。如要实现24小时控制的话可通过地区锁，关闭所有地区实现
e生活积分消费商户	点击附近其他商户，再点此商户即可显示。类似问题建议提交体验问题。
国债转帐问题反映	您好，请使用新模式下投资页签下的债券销户功能，谢谢
e生活积分消费商户问题	已联系开发确认
明华二代U盾证书恢复异常，如图所示	您好，该报错一般为u盾故障，需更换u盾，谢谢
17日生成的随心查周报问题	您好，我们的数据未遇到该问题，目前周月报属于行内试用阶段，我们联系您帮忙协助进一步分析定位，相关内容纳入后续版本优化计划，谢谢。
随心查周报月报我的客服无法获取问题	您好，目前周月报属于行内试用阶段，“周报告”“月报告”等关键词无法在我的客服中找到确切解释，所以暂未做联动发送关键词，已纳入后续版本优化计划。
本来是六星级，今天融e联提示升级成五星级，再看还是六星级，不知所谓	您好，方便的话您能提供下您登录融e联的手机号和姓名等可供开发人员用于问题分析的数据吗？
手机银行，评价与反馈登不进	您好，我这边交易正常，可能当时网络缓慢，还请重试，有问题再联系我，谢谢
手机银行-搜功能搜产品	12月客户端解决了这个问题 请等新客户端退出后下载～
求助企业网银出现无法查询账户余额、明细、回单，网银只能挂子账户。	可以查询子账号回单。是否说的是管家卡？管家卡没有单独的回单链接，回单体现在账号上。
错账日期12月9日 调账日期12月11日 现在需要调整1323 12月9日账务	可以在1323交易中输入调帐日期为12月9日，选中对应币种，然后据实际情况调整发生额或余额。
网银下卡号查询	您好，请提供详细信息，可邮件发到北中心测试三部韩青的邮箱
企业撤销一张电票时报非法数据错，42048	请分行提供详细信息：票据号码，撤票前已经做了哪些工作？
客户经理pbms系统不显示客户总资产	您好，客户总资产来源于pcrm，如客户为增量维护新客户，可能没有资产信息，如为存量维护的客户，请确认现在是否展现资产信息？如仍没有，请提供具体信息，发送江一帆邮箱，以便分析，谢谢。
个人信用审批系统网点号异常问题	经确认问题已经解决。因为生产上BAM审核系统的机构树是加载BOM系统的数据，广东省行2001地区数据比较特殊，只在BAM维护了0053的卡部网点，但是没有在BOM系统维护，所以在昨天批量加载后，缺失了
今日智能设备风险评估提示通讯故障	您好，该问题目前开发中心正在分析，而且只影响未做过测评的客户购买理财，在此之前可先引导客户至柜面办理。
广东行9960交易报错	预计今天中午实施生产变更解决此问题。
跨境人民币有大额行号的，上传集中处理大类6小类23失败无影像，具体页面如下，求助	该交易在测试环境验证正常，具体情况测试人员联系您进行核实
六个月不动户的理财到期及保险扣划问题	您好，不影响赎回自动入账，对于保险代扣，需看是走我行批量扣款程序还是联机扣款程序，如走联机无法入账，如走批量可以入账
求助	等一天就可以了
BS平台是啥系统	您好，请问您说的是BSP清算系统吗？
关于自助设备理财金卡挂失补卡的问题	看你选择换卡的新产品是不是e时代 以及 换完之后一天就可以支取
pos退账问题	三类账户退货要走专门的退货接口 请通过正常退货流程操作 不能使用柜面交易
工银e校园银行通收益率显示问题	是有问题，一月版本修改，谢谢～
最近生产机超级卡是什么原因有知道的吗？	您好，请问具体是哪款机型，如何卡，还需提供具体信息已便排查
财智账戶卡自助注册企业网银如何注销？	电子银行内部管理系统，通过企业电子银行普及版-企业电子银行普及版客户注销功能模块注销。仅限于自助注册客户。任意电子银行代理网点。
工银e办公问题	是不是新版本把第三方输入法屏蔽了。
PBMS系统客户画像无法显示？	您好，在IE浏览器右上角点击设置，选择兼容视图设置，将列表中npbms.icbc的地址去掉，关闭ie,重新登录营销系统即可，谢谢
请教，pos退款贷方为三类账户应如何入账?	三类账户入账要通过退货接口发起 不能通过柜面交易 请按正常退货处理路径操作
本周投产后，新开户无法自动用印问题	请分行科技部门检查一下推送的新终端版本中sealprint文件夹里是否包含该凭证的版式文件
atm长款处理问题	目测是入帐的卡片或者账户有问题，请邮件或者联系我，具体来分析一下。
融e联查找公众号报错问题	验证仍有问题，有时候查找保错，有时候能正常查到
今天客户反映三星手机融e联更新成功后接收不到余额变动提醒了，卸载重新安装也不好用	请看下工银信使－信使管理里余额变动提醒定制情况(比如定制卡是否与交易卡一致；是否定制融e联消息；交易金额是否达到起始金额)，还有工银信使－接收设置里绑定手机号是否与余额变动提醒手机号一致
我行对公客户要接受电子承兑，请问要给该客户办理哪些手续？谢谢😜	需要给客户开通企业网银，开通电子票据权限。
工银e缴费支持哪些账户作为收款账户？	目前支持：对公往来户，财智账户卡，账户管家账户，内部户。
工银e缴费选择账单通知，客户可以收到融e联推送通知吗？	如果客户安装开通了融e联，即可收到账单通知，若未开通，则会收取短信通知，不需做特殊设置。
磁条芯片复合卡在ATM上显示请使用芯片	应该是芯片未正常读取，可根据卡种找个柜面渠道的读卡交易核实下，如确认是芯片的问题通知客户及时换卡。
工银e灵通手机银行收益基准显示0？？？？？？	网银和手机银行同样的显示结果，是系统错误还是理财收益降到0了？
企业网银签收电票时提示票据信息查询失败，签收不成功，点击票号也是一样的提示，求助	核实了出票单位，现在出票单位网银上是代签收状态，下一步怎么操作啊？
影像显示问题请教	请安装EAP控件
信用卡刷卡消费，信用额度2000，消费5000，预存3000，为何消费时还报错。	瑛姐，最后4745显示啥
信用卡客户办理融e借不能秒到可能是什么原因？	正常客户申请融e借都是10分钟左右放款成功。这些客户都是我行已有信用卡客户，已有对应的关系额度，所以可以自动审查，自动审批放款。<br />融e借白名单客户还有一些非持有信用卡客户，这些客户的申请需要
财智卡到期展期需要的手续	相关业务要求请参看总行结算与现金管理部下发的财智账户卡业务管理办法。谢谢。
网银内管系统申请开通电子汇票但无法查询出组织机构代码，查询为空的原因是？	查询的是主机存储的客户组织机构代码
我今早发现智能机的影像查不到了！从12月16号至今的都没有！	&#35831;&#38382;&#24744;&#30340;&#19994;&#21153;&#22330;&#26223;&#26159;&#26576;&#20010;&#20998;&#34
办理挂失补卡，是否核保处输入核保，无法补卡，怎么处理	请问什么具体报错？
客户刷不了卡，查调4745用卡受阻交易显示:纯磁条卡超额交易安全待验证	可拨打95588核实，信用卡客户的话应该有收到电话核实短信，回复短信也可以
身份核查反馈“人行核查无记录B”是什么原因？	您好，这个提示是指联网核查本地库核查无记录。有可能是人行联网核查环境坏了，而我行本地库没有该客户的记录。建议重新查询试试，若一直有问题或者较多客户都有此问题，请邮件我。
年费收费问题	邮件测试四部郭梦伊 广三陈汉
手机银行搜索栏内搜索“登录管理”，下拉菜单中第一个“登录管理”，戳进去白屏	您好，该问题已通过新客户端解决，请待上架后更新即可
手机银行搜索栏内搜“登录管理”，戳下拉菜单中的“指纹/刷脸”登录，显示尚未开通	12月版客户端还未上架，请待上架后更新即可
个客营销系统进入后只有银行卡页面，在哪里能注销该个客用户？	您好，注销用户请用分行专业管理员，谢谢
近日我行员工反映客户无法通过添加查找方式关注“威海工行”公众号，扫码可以关注。	需要查找公众号，我刚才试了一下是可以关注的
他行基本户代发工资提示失败原因是账户余额不足或发生额小于0，为什么么	账户余额与代发金额一致
注销网银时显示存在跨行协议，怎么处理	请确认是否存在网银互联协议，可通过签约行或我行柜面、内管、网银等渠道解约。
客户端代发工资证书加密报错	关闭客户端，执行开始菜单-中国工商银行-代理业务批量工具，里面的修复签名压缩功能。还不行的话，请确认客户端版本是否最新。
他行基本户代发工资，提示账户余额不足或发生额小于0，什么原因？	重复问题。请参考贵行蒋盼盼的问题处理情况。
虹光扫描仪错误代码129找不到扫描仪	请补充做什么业务时报找不到扫描仪，以便分析。
ios融e联2.4.7.1版本什么时候可以正常更新？	苹果方面还未完成审核，还需要几天，预计下周了
他行基本户代发工资，他行基本户转入我行内部户资金状态为什么显示冻结？	是不是客户已经提交代发指令？但咱们银行还在跑批量未处理完？
保证金（41）开户时，一个客户只能开立一个保证金户，是指同一地区还是工行系统内？	已解决，同一客户在同一地区只能开一个保证金户。
8916信用卡领卡发送短信提示，客户不能收到信息；小盒子有一到十，能随便选择吗？	8916是信用卡尾号？客户不能收到短信是客户收到的短信提示内容？小盒子指的是？请将具体问题信息描述清楚邮件发送测试四部沙一菲。
企业手机银行收费吗	不收。
客户在智能终端上开卡成功后，是否可以跨网点领取	不可以，因为目前一台智能终端只能关联本网点的一台产品领取机。
现在的代发工资有几个批次啊，12点提上的，现在还没处理呢	付款业务企业财务室提交的经代理业务处理的，每天6个场次。
运管	请补充完整
法院	通过主机调账系统将该冻结往来户的欠息金额调整为零，通过柜面2651冻结扣划后，再通过主机调账系统将欠息金额调整恢复即可。
请问客户卡给跨行账户汇款，没成功，钱退回卡上，但不能使用，怎么处理？	请问不能使用的提示是什么？具体报错信息可以发送测试四部王丽丽
请问，哪位老师知道存折现在能在异地挂失销户吗？我记得之前投产有这个功能，但不行。	可以，挂失手续费选择现金
个人网银添加他行卡，在网银互联中解约报错	请至网银互联操作记录中查询失败原因。
个人网银他行卡解约报错	这是对手行不支持，需至签约行进行解约。
取外币现钞报错	老师，我们新增时提示此记录已存在，但是前台取外币时还是无法成功，还是原来的提示
9200344其他应付款-直贴户支行如何开立	这是你行自设内部户，逐级报内部户开户申请到省一级分行运管部审批后，省营业部为你行开户，支行无权开户。
集团二级账户被有权机关通过网络查控系统冻结，网点报表总分不平问题请教。	二级户被冻结后会强制脱离集团账户协议，变成一般结算户。二级户强制脱离后，余额清零，但是不登记往来户历史明细，导致余额不连续，属于正常情况。截图上的报表只是一张辅助表，实际上并没有真正发生总分不平。解冻
企业客户接受电票时提示参数不全或者大额行号位数不对是怎么回事啊	请核实是否做过网点撤并或其他信息修改？如发生撤并，撤并前的电票现在不可用；如有其他信息修改，请二级行有bms权限的柜员在bms系统重新检查和维护网点信息。
请问客户通过支付宝解绑银行卡，是否会造成我行客户柜面预留手机号标志变为“否”？	不会的
全球信贷与代理投资管理系统问题反映	您好，请补充详细问题。
请问柜面打印借记卡历史明细，最长能打印几年的啊？谢谢	5年
请问，活期一本通存折销户，提示交易失败【3554】该帐户是专户不能作此交易！	1207账户属性修改，调整专户标志为0
请问我行手机银行，融e联等App什么时候可以适配iPhone X?	手机银行目前也可使用，针对性适配拟安排在三月份。
请问手机银行跨行汇款2017年12月20日汇200元到邮储银行卡上，客户称今天22号，还未到賬，也未退回，怎样为客户查该笔伙房吃完回汇款去向，未到账原因	建议至收款行查询。
军队版企业网银登录、付款业务正常，但是批量支付时出现“读取银行证书介质失败”	请问是军队行业版集中支付还是非集中支付版本呢？
外籍客户持借记卡境外ATM机取现不成功，是什么原因	查一下1937，还有安全锁是否关了境外取现
4214个人客户三要素修改显示的异常标志为‘异常’是什么原因？该如何处理？谢谢	身份证号码是15位吧！升位后应该就正常了
手机银行自助开通电子二类卡后，该卡销不了，也删除不了，怎么删除该电子二类卡呢？	在手机银行我的账号按住该卡号，可以出现删除功能，要是销户只能到柜面处理了
法人理财协议如何注销，前台有个5943交易显示已作废	5940提示有超短期理财产品协议，无法注销
建议3045交易销户时可以联动将账户余额转入久悬户，减轻柜员工作量	己将您的建议反馈流程优化部门。谢谢您的建议。
智能终端节节高误提前支取如何反交易？	您好 智能终端无法反交易
单位账户内部销户，提示有工银信使，注销工银信使需要验印，怎么处理？	柜面注销工银信使，强制验印。也可以通过法客注销，则无需验印。
单位账户内部销户，注销工银信使需要验印，怎么处理	重复问题。
融e联个人客户关注公众号失败	您好，请联系公众平台开发 王圣昊 排查下，多谢~
代理业务传输系统报错数据库异常	帮忙提供画面，谢谢
融e联生产苹果客户端打开网页闪退	页面为<a href=>https://improxy.dccnet.com.cn/sdrel/mpserver/api/visit/face/gather</a>，其中引用了融e联js sdk
代理业务传输系统批量代扣处理标志075报错的原因	二三类账户转出金额累计超限
手机银行，AI投，赎回后存在问题	问题1已优化，后续赎回不会再出现;问题2正在分析，会纳入后续优化计划，谢谢。
企业外币账户能在网银订信使吗？如何操作？	哪种信使呢？余额变动提醒可以。
应解汇款解汇需应解流水号，如何找到流水号，如不能后续可否通过内部户支取提现，谢谢	请问是哪类汇款的应解？人民币还是外币？境内还是跨境？
我行一对公客户提出其交易流水保密的需求，我行系统是否支持交易明细不被随便打印?	根据支付结算办法我行为客户保密，但法律另有规定的除外。
山东枣庄7646查询身份证号码不存在	您好，可能为人行系统不稳定，建议稍后再试
对公单位开具pos手续费增值税发票，但客户表示发票金额太大没有这么多	您好，可以查一下《中国工商银行特约商户手续费暂收清单》，里面有所有发票打印的明细。另外，请教一下，是否全辖的加油站都是同一个商户编号下的呢？
我支行客户办理银企互联业务，现在企业网银被注销，是否影响客户使用银企互联系统？	不会受影响
中间业务减免流程处于待分发处理状态，但无法找到处理人员	增加经办员，做分发操作
